Script started on Mon 18 Aug 2014 03:34:19 AM EDT
MERII2014/cs5300/Final/housedataattHopfieldScript.txto|uperls-peo's/\e([^\[\]]|\[.*?[a-zA-Z]|\].*?\a)//g' | col db/home/chronosage/Documents/Dropbox/SCHOOL/SUMMERII2014/cs5300/Final/housedatapython3 backpropFromGod.py
python3 backpropFromGod.py
0.0194051614942 [ 0.01484886]
0.0193696226652 [ 0.01437111]
0.019033105173 [ 0.02731262]
0.0188796036193 [ 0.0164242]
0.0190701632807 [ 0.0146005]
0.0190591846489 [ 0.02094171]
0.0195260339569 [ 0.01552523]
0.0188325572361 [ 0.01501825]
0.0190461652126 [ 0.01723961]
0.0191193424793 [ 0.01480705]
0.0187225008279 [ 0.01482966]
0.0188137427876 [ 0.02299656]
0.0189639143515 [ 0.0154018]
0.0192671714983 [ 0.01642017]
0.0190369150168 [ 0.01501597]
0.0193773910279 [ 0.01571988]
0.019247345342 [ 0.01528395]
0.0190636627752 [ 0.01787646]
0.0191080189531 [ 0.0150625]
0.0187692908451 [ 0.01444138]
0.0190353415126 [ 0.01636936]
0.0192026678771 [ 0.01514284]
0.0190354328535 [ 0.0176414]
0.0188140978273 [ 0.01609249]
0.0189399926893 [ 0.01514437]
0.01897042115 [ 0.01573326]
0.0190498585174 [ 0.01502797]
0.0191146702179 [ 0.01620018]
0.0189001155306 [ 0.01447607]
0.0189321507217 [ 0.015451]
0.018903999109 [ 0.01563378]
0.0185126182105 [ 0.01563508]
0.0189816562278 [ 0.01454033]
0.0187809252173 [ 0.01458863]
0.0187250383793 [ 0.01463444]
0.0183965249599 [ 0.01534349]
0.0189012656664 [ 0.0175154]
0.0187888052863 [ 0.01891961]
0.0185860277948 [ 0.01784867]
0.018336678269 [ 0.01590077]
0.0186227022836 [ 0.01449284]
0.0185721926992 [ 0.01479751]
0.0186538138408 [ 0.01526995]
0.0181741272791 [ 0.0144057]
0.0189481501266 [ 0.01531487]
0.0183772583546 [ 0.01719608]
0.018860791321 [ 0.01529071]
0.0182642404075 [ 0.01543052]
0.0186768719308 [ 0.01436506]
0.0187656096335 [ 0.01573155]
0.0185661446912 [ 0.01730166]
0.0184588145829 [ 0.01421957]
0.0186693424164 [ 0.01509117]
0.0183831760616 [ 0.01539786]
0.0181048274059 [ 0.01438423]
0.018165694348 [ 0.01557585]
0.0180837727373 [ 0.01510826]
0.0184886024919 [ 0.01424899]
0.0187097753086 [ 0.01408389]
0.0187109693545 [ 0.0144823]
0.0182605570277 [ 0.014957]
0.0181144784914 [ 0.0152849]
0.0182880851327 [ 0.01905581]
0.0180022172485 [ 0.01405165]
0.0181895366528 [ 0.0155242]
0.018204011739 [ 0.0153298]
0.0183058632044 [ 0.01403128]
0.0180845139763 [ 0.01516933]
0.0181229993732 [ 0.01425637]
0.0177836207334 [ 0.01450706]
0.0178708425554 [ 0.01546565]
0.0182457084432 [ 0.01417821]
0.0181951847482 [ 0.01390488]
0.0182193403936 [ 0.01472381]
0.0183329741296 [ 0.01361777]
0.0179592120028 [ 0.01395893]
0.0179439713532 [ 0.01322824]
0.0179117373212 [ 0.0146348]
0.0178406963462 [ 0.01549818]
0.0178325089307 [ 0.01469762]
0.0175589565929 [ 0.01468916]
0.0179075438549 [ 0.01368668]
0.0179616765739 [ 0.01390194]
0.0178334698503 [ 0.0155364]
0.017286474922 [ 0.02067233]
0.0180211747919 [ 0.01323363]
0.0176230603866 [ 0.0137849]
0.0174788118105 [ 0.01379904]
0.0175599335284 [ 0.01356154]
0.0180010532736 [ 0.01315351]
0.017620709694 [ 0.01329336]
0.017762640683 [ 0.01334433]
0.0172592748894 [ 0.01357217]
0.0178218990592 [ 0.01356681]
